+-------+-----+-------+-------+------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+-----------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX  | 5XX | METHOD |              URI              |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+-------+-------+------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+-----------+
|     2 |   0 |     2 |     0 |    0 |   0 | POST   | /initialize                   | 0.548 | 0.556 |    1.104 | 0.552 | 0.556 | 0.556 | 0.556 |  0.004 |    18.000 |     18.000 |        36.000 |    18.000 |
|    65 |   0 |    57 |     0 |    8 |   0 | POST   | /api/isu                      | 0.008 | 0.160 |    4.556 | 0.070 | 0.096 | 0.116 | 0.160 |  0.030 |    15.000 |    137.000 |      6962.000 |   107.108 |
|  1373 |   0 |  1074 |     0 |  299 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/graph | 0.008 | 0.264 |   46.629 | 0.034 | 0.080 | 0.108 | 0.192 |  0.037 |     0.000 |   8120.000 |   5986736.000 |  4360.332 |
| 12687 |   0 | 12675 |     0 |   12 |   0 | GET    | /api/trend                    | 0.004 | 0.256 |  396.658 | 0.031 | 0.072 | 0.092 | 0.136 |  0.030 |     0.000 |   4645.000 |  56505022.000 |  4453.773 |
|  1718 |   0 |  1658 |     0 |   60 |   0 | GET    | /api/isu                      | 0.008 | 0.212 |   49.564 | 0.029 | 0.056 | 0.076 | 0.140 |  0.025 |     0.000 |   3679.000 |   4072707.000 |  2370.609 |
| 68401 |   0 | 64329 |     0 | 4072 |   0 | POST   | /api/condition/[0-9a-zA-Z\-]+ | 0.016 | 0.252 | 1786.785 | 0.026 | 0.076 | 0.100 | 0.104 |  0.029 |     0.000 |     14.000 |       504.000 |     0.007 |
| 11062 |   0 | 10714 |     0 |  348 |   0 | GET    | /api/condition/[0-9a-zA-Z\-]+ | 0.044 | 0.220 |  224.195 | 0.020 | 0.052 | 0.072 | 0.128 |  0.025 |     0.000 |   6102.000 |  52829741.000 |  4775.786 |
| 13109 |   0 |   712 | 12386 |   11 |   0 | GET    | /                             | 0.008 | 0.180 |  223.511 | 0.017 | 0.044 | 0.064 | 0.100 |  0.022 |     0.000 |    528.000 |    375936.000 |    28.678 |
| 12052 |   0 | 11866 |     0 |  186 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/icon  | 0.008 | 0.192 |  174.938 | 0.015 | 0.032 | 0.048 | 0.096 |  0.018 |     0.000 | 135259.000 | 298281392.000 | 24749.535 |
|  1836 |   0 |  1658 |     0 |  178 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+       | 0.004 | 0.180 |   26.269 | 0.014 | 0.032 | 0.048 | 0.096 |  0.019 |     0.000 |    137.000 |    201208.000 |   109.590 |
|  1002 |   0 |   520 |     0 |  482 |   0 | POST   | /api/auth                     | 0.000 | 0.164 |   14.216 | 0.014 | 0.032 | 0.044 | 0.080 |  0.016 |     0.000 |     19.000 |      5520.000 |     5.509 |
|   395 |   0 |   332 |     0 |   63 |   0 | POST   | /api/signout                  | 0.008 | 0.220 |    4.592 | 0.012 | 0.024 | 0.040 | 0.144 |  0.022 |     0.000 |     21.000 |      1323.000 |     3.349 |
|   729 |   0 |   342 |     0 |  387 |   0 | GET    | /api/user/me                  | 0.004 | 0.132 |    6.868 | 0.009 | 0.024 | 0.036 | 0.068 |  0.015 |    21.000 |     41.000 |     19905.000 |    27.305 |
|    36 |   0 |    12 |    24 |    0 |   0 | GET    | /isu/[0-9a-zA-Z\-]+/condition | 0.000 | 0.004 |    0.020 | 0.001 | 0.004 | 0.004 | 0.004 |  0.001 |     0.000 |    528.000 |      6336.000 |   176.000 |
|    24 |   0 |    24 |     0 |    0 |   0 | GET    | /isu/[0-9a-zA-Z\-]+           | 0.000 | 0.004 |    0.004 | 0.000 | 0.000 | 0.000 | 0.004 |  0.001 |   528.000 |    528.000 |     12672.000 |   528.000 |
| 12691 |   0 |   368 | 12323 |    0 |   0 | GET    | /assets/logo_orange.svg       | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |   3288.000 |   1209984.000 |    95.342 |
| 12820 |   0 |   370 | 12450 |    0 |   0 | GET    | /assets/logo_white.svg        | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |   3285.000 |   1215450.000 |    94.809 |
| 12820 |   0 |   370 | 12450 |    0 |   0 | GET    | /assets/vendor.ee7444dd.js    | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 | 743417.000 | 275064290.000 | 21455.873 |
| 12820 |   0 |   370 | 12450 |    0 |   0 | GET    | /assets/index.23dac98b.js     | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |  26667.000 |   9866790.000 |   769.640 |
| 12820 |   0 |   370 | 12450 |    0 |   0 | GET    | /assets/favicon.d0f5f504.svg  | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |    592.000 |    219040.000 |    17.086 |
|     6 |   0 |     2 |     4 |    0 |   0 | GET    | /register                     | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |    528.000 |      1056.000 |   176.000 |
| 12820 |   0 |   370 | 12450 |    0 |   0 | GET    | /assets/index.144d8ca8.css    | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |  19066.000 |   7054420.000 |   550.267 |
+-------+-----+-------+-------+------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+-----------+
