+-------+-----+-------+-----+-------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX |  4XX  | 5XX | METHOD |              URI              |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+-------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
|   316 |   0 |   194 |   0 |   122 |   0 | GET    | /api/trend                    | 0.028 | 1.092 |  254.886 | 0.807 | 1.000 | 1.004 | 1.008 |  0.250 |      0.000 |   8571.000 |   1537190.000 |   4864.525 |
|     2 |   0 |     2 |   0 |     0 |   0 | POST   | /initialize                   | 0.460 | 0.472 |    0.932 | 0.466 | 0.472 | 0.472 | 0.472 |  0.006 |     23.000 |     23.000 |        46.000 |     23.000 |
|    67 |   0 |    59 |   0 |     8 |   0 | POST   | /api/isu                      | 0.004 | 0.176 |    5.180 | 0.077 | 0.120 | 0.144 | 0.176 |  0.035 |     15.000 |    157.000 |      8261.000 |    123.299 |
|   663 |   0 |   618 |   0 |    45 |   0 | GET    | /api/isu                      | 0.004 | 0.472 |   50.694 | 0.076 | 0.132 | 0.164 | 0.236 |  0.051 |      3.000 |  10000.000 |   1477385.000 |   2228.333 |
|  1002 |   0 |   766 |   0 |   236 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/graph | 0.020 | 0.752 |   76.264 | 0.076 | 0.140 | 0.168 | 0.268 |  0.059 |      0.000 |  10005.000 |   5416694.000 |   5405.882 |
|  5388 |   0 |  5093 |   0 |   291 |   4 | GET    | /api/condition/[0-9a-zA-Z\-]+ | 0.004 | 0.420 |  300.720 | 0.056 | 0.100 | 0.124 | 0.196 |  0.039 |      0.000 |   7363.000 |  30371478.000 |   5636.874 |
|   780 |   0 |   635 |   0 |   144 |   1 | GET    | /api/isu/[0-9a-zA-Z\-]+       | 0.004 | 0.664 |   30.709 | 0.039 | 0.080 | 0.100 | 0.180 |  0.044 |     14.000 |    157.000 |     89622.000 |    114.900 |
| 61777 |   0 | 47343 |   0 | 14421 |  13 | POST   | /api/condition/[0-9a-zA-Z\-]+ | 0.004 | 0.404 | 2142.284 | 0.035 | 0.100 | 0.104 | 0.108 |  0.042 |      0.000 |     14.000 |       336.000 |      0.005 |
|  3698 |   0 |  3554 |   0 |   142 |   2 | GET    | /api/isu/[0-9a-zA-Z\-]+/icon  | 0.008 | 0.556 |  117.644 | 0.032 | 0.064 | 0.080 | 0.136 |  0.030 |      0.000 | 135259.000 |  98382092.000 |  26604.135 |
|     3 |   0 |     0 |   0 |     3 |   0 | GET    | /favicon.ico                  | 0.016 | 0.032 |    0.068 | 0.023 | 0.032 | 0.032 | 0.032 |  0.007 |     71.000 |     71.000 |       213.000 |     71.000 |
|   662 |   0 |   278 |   0 |   384 |   0 | POST   | /api/auth                     | 0.004 | 0.456 |   14.512 | 0.022 | 0.052 | 0.064 | 0.104 |  0.031 |      0.000 |     19.000 |      4416.000 |      6.671 |
|   175 |   0 |   123 |   0 |    52 |   0 | POST   | /api/signout                  | 0.012 | 0.136 |    3.668 | 0.021 | 0.052 | 0.064 | 0.088 |  0.021 |     21.000 |     21.000 |      1092.000 |      6.240 |
|   301 |   0 |   134 |   0 |   167 |   0 | GET    | /api/user/me                  | 0.004 | 0.232 |    4.860 | 0.016 | 0.044 | 0.060 | 0.096 |  0.024 |     21.000 |     43.000 |      8489.000 |     28.203 |
|   513 |   0 |   299 | 211 |     3 |   0 | GET    | /                             | 0.004 | 0.244 |    3.064 | 0.006 | 0.012 | 0.020 | 0.040 |  0.013 |     71.000 |    528.000 |    158085.000 |    308.158 |
|   460 |   0 |   165 | 294 |     1 |   0 | GET    | /assets/vendor.ee7444dd.js    | 0.004 | 0.068 |    2.648 | 0.006 | 0.012 | 0.020 | 0.036 |  0.008 | 743417.000 | 743417.000 | 122663876.000 | 266660.600 |
|   325 |   0 |   163 | 162 |     0 |   0 | GET    | /assets/logo_orange.svg       | 0.004 | 0.044 |    1.732 | 0.005 | 0.012 | 0.020 | 0.028 |  0.006 |   3288.000 |   3288.000 |    535944.000 |   1649.058 |
|   460 |   0 |   165 | 293 |     2 |   0 | GET    | /assets/index.23dac98b.js     | 0.012 | 0.068 |    2.432 | 0.005 | 0.012 | 0.016 | 0.036 |  0.007 |  26667.000 |  26667.000 |   4400197.000 |   9565.646 |
|   460 |   0 |   165 | 294 |     1 |   0 | GET    | /assets/favicon.d0f5f504.svg  | 0.012 | 0.068 |    2.328 | 0.005 | 0.012 | 0.016 | 0.032 |  0.007 |    592.000 |    592.000 |     97751.000 |    212.502 |
|   463 |   0 |   165 | 296 |     2 |   0 | GET    | /assets/logo_white.svg        | 0.004 | 0.048 |    2.156 | 0.005 | 0.012 | 0.016 | 0.032 |  0.007 |      0.000 |   3285.000 |    542167.000 |   1170.987 |
|   460 |   0 |   165 | 293 |     2 |   0 | GET    | /assets/index.144d8ca8.css    | 0.012 | 0.068 |    2.100 | 0.005 | 0.012 | 0.012 | 0.032 |  0.007 |  19066.000 |  19066.000 |   3146032.000 |   6839.200 |
|    48 |   0 |    16 |  32 |     0 |   0 | GET    | /isu/[0-9a-zA-Z\-]+/condition | 0.000 | 0.004 |    0.028 | 0.001 | 0.004 | 0.004 | 0.004 |  0.001 |      0.000 |    528.000 |      8448.000 |    176.000 |
|     6 |   0 |     2 |   4 |     0 |   0 | GET    | /register                     | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |      0.000 |    528.000 |      1056.000 |    176.000 |
|    32 |   0 |    32 |   0 |     0 |   0 | GET    | /isu/[0-9a-zA-Z\-]+           | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |    528.000 |    528.000 |     16896.000 |    528.000 |
+-------+-----+-------+-----+-------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
