+-------+-----+-------+-------+------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+-----------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX  | 5XX | METHOD |              URI              |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+-------+-------+------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+-----------+
|     1 |   0 |     1 |     0 |    0 |   0 | POST   | /initialize                   | 0.612 | 0.612 |    0.612 | 0.612 | 0.612 | 0.612 | 0.612 |  0.000 |    18.000 |     18.000 |        18.000 |    18.000 |
|    55 |   0 |    51 |     0 |    4 |   0 | POST   | /api/isu                      | 0.004 | 0.120 |    3.660 | 0.067 | 0.084 | 0.088 | 0.120 |  0.020 |    15.000 |    137.000 |      6221.000 |   113.109 |
|  1447 |   0 |  1060 |     0 |  387 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/graph | 0.004 | 0.356 |   59.417 | 0.041 | 0.092 | 0.108 | 0.160 |  0.038 |     0.000 |  10448.000 |   8595825.000 |  5940.446 |
| 63937 |   0 | 59338 |     0 | 4599 |   0 | POST   | /api/condition/[0-9a-zA-Z\-]+ | 0.004 | 0.284 | 2146.727 | 0.034 | 0.088 | 0.100 | 0.104 |  0.032 |     0.000 |     14.000 |       630.000 |     0.010 |
|  1555 |   0 |  1477 |     0 |   78 |   0 | GET    | /api/isu                      | 0.012 | 0.140 |   36.665 | 0.024 | 0.044 | 0.052 | 0.084 |  0.017 |     0.000 |   3771.000 |   3520964.000 |  2264.286 |
| 20931 |   0 | 20486 |     0 |  445 |   0 | GET    | /api/condition/[0-9a-zA-Z\-]+ | 0.064 | 0.312 |  223.557 | 0.011 | 0.020 | 0.028 | 0.052 |  0.011 |     0.000 |   6082.000 | 105110716.000 |  5021.772 |
| 10461 |   0 | 10230 |     0 |  231 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/icon  | 0.004 | 0.200 |   95.057 | 0.009 | 0.017 | 0.024 | 0.040 |  0.009 |    14.000 | 135259.000 | 248659186.000 | 23770.116 |
|  1674 |   0 |  1443 |     0 |  231 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+       | 0.004 | 0.248 |   14.620 | 0.009 | 0.020 | 0.024 | 0.044 |  0.011 |    14.000 |    137.000 |    176594.000 |   105.492 |
|  1128 |   0 |   512 |     0 |  616 |   0 | POST   | /api/auth                     | 0.008 | 0.200 |    9.028 | 0.008 | 0.016 | 0.020 | 0.036 |  0.010 |     0.000 |     19.000 |      7084.000 |     6.280 |
