+-------+-----+-------+-----+------+-----+--------+-------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+--------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX  | 5XX | METHOD |              URI              |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+------+-----+--------+-------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+--------------+------------+
|   131 |   0 |    46 |   0 |   85 |   0 | GET    | /api/trend                    | 0.016 | 1.008 | 113.915 | 0.870 | 1.004 | 1.004 | 1.008 |  0.252 |     0.000 |   8224.000 |   335128.000 |   2558.229 |
|     1 |   0 |     1 |   0 |    0 |   0 | POST   | /initialize                   | 0.540 | 0.540 |   0.540 | 0.540 | 0.540 | 0.540 | 0.540 |  0.000 |    23.000 |     23.000 |       23.000 |     23.000 |
|   581 |   0 |   520 |   0 |   61 |   0 | GET    | /api/isu                      | 0.132 | 1.060 |  69.553 | 0.120 | 0.176 | 0.496 | 1.000 |  0.192 |     3.000 |   4711.000 |  1532038.000 |   2636.898 |
|    55 |   0 |    51 |   0 |    4 |   0 | POST   | /api/isu                      | 0.008 | 0.160 |   4.392 | 0.080 | 0.100 | 0.116 | 0.160 |  0.025 |    15.000 |    154.000 |     7128.000 |    129.600 |
|   954 |   0 |   753 |   0 |  201 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/graph | 0.016 | 0.768 |  65.307 | 0.068 | 0.128 | 0.160 | 0.308 |  0.064 |     0.000 |   7391.000 |  3647785.000 |   3823.674 |
|  2991 |   0 |  2748 |   0 |  243 |   0 | GET    | /api/condition/[0-9a-zA-Z\-]+ | 0.004 | 1.000 | 193.843 | 0.065 | 0.120 | 0.160 | 0.320 |  0.069 |     0.000 |   7123.000 | 15953988.000 |   5333.998 |
|   643 |   0 |   516 |   0 |  127 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+       | 0.036 | 1.000 |  33.661 | 0.052 | 0.108 | 0.140 | 0.332 |  0.077 |     0.000 |    154.000 |    73060.000 |    113.624 |
|  3687 |   0 |  3548 |   0 |  139 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/icon  | 0.004 | 1.056 | 161.182 | 0.044 | 0.080 | 0.124 | 0.392 |  0.086 |     0.000 | 135259.000 | 94481719.000 |  25625.636 |
|   547 |   0 |   216 |   0 |  331 |   0 | POST   | /api/auth                     | 0.012 | 1.004 |  13.485 | 0.025 | 0.048 | 0.076 | 0.256 |  0.085 |     0.000 |     19.000 |     3772.000 |      6.896 |
|   128 |   0 |    85 |   0 |   43 |   0 | POST   | /api/signout                  | 0.000 | 0.540 |   3.072 | 0.024 | 0.048 | 0.072 | 0.220 |  0.056 |    21.000 |     21.000 |      903.000 |      7.055 |
|   217 |   0 |    93 |   0 |  124 |   0 | GET    | /api/user/me                  | 0.000 | 0.224 |   2.865 | 0.013 | 0.036 | 0.060 | 0.120 |  0.028 |    21.000 |     43.000 |     6114.000 |     28.175 |
| 71188 |   0 | 68510 |   0 | 2678 |   0 | POST   | /api/condition/[0-9a-zA-Z\-]+ | 0.004 | 0.404 | 737.234 | 0.010 | 0.032 | 0.080 | 0.100 |  0.025 |     0.000 |      0.000 |        0.000 |      0.000 |
|   209 |   0 |   116 |  93 |    0 |   0 | GET    | /assets/vendor.ee7444dd.js    | 0.000 | 0.024 |   0.652 | 0.003 | 0.008 | 0.012 | 0.020 |  0.004 |     0.000 | 743417.000 | 86236372.000 | 412614.220 |
