+-------+-----+-------+-------+-------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+-----------+
| COUNT | 1XX |  2XX  |  3XX  |  4XX  | 5XX | METHOD |              URI              |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+-------+-------+-------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+-----------+
|     2 |   0 |     2 |     0 |     0 |   0 | POST   | /initialize                   | 0.424 | 0.544 |    0.968 | 0.484 | 0.544 | 0.544 | 0.544 |  0.060 |    18.000 |     18.000 |        36.000 |    18.000 |
|    58 |   0 |    54 |     0 |     4 |   0 | POST   | /api/isu                      | 0.004 | 0.144 |    4.200 | 0.072 | 0.088 | 0.128 | 0.144 |  0.024 |    15.000 |    137.000 |      6674.000 |   115.069 |
| 48270 |   0 | 34123 |     0 | 14135 |  12 | POST   | /api/condition/[0-9a-zA-Z\-]+ | 0.016 | 0.196 | 2811.638 | 0.058 | 0.100 | 0.104 | 0.108 |  0.038 |     0.000 |     14.000 |       672.000 |     0.014 |
|    17 |   0 |     0 |     0 |    17 |   0 | GET    | /favicon.ico                  | 0.008 | 0.088 |    0.728 | 0.043 | 0.076 | 0.088 | 0.088 |  0.022 |    24.000 |     24.000 |       408.000 |    24.000 |
|  1637 |   0 |  1315 |     0 |   322 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/graph | 0.004 | 0.264 |   56.788 | 0.035 | 0.072 | 0.092 | 0.132 |  0.029 |     0.000 |   8787.000 |   8128650.000 |  4965.577 |
|  1709 |   0 |  1643 |     0 |    65 |   1 | GET    | /api/isu                      | 0.004 | 0.240 |   50.930 | 0.030 | 0.052 | 0.068 | 0.112 |  0.022 |     3.000 |   3789.000 |   3918906.000 |  2293.099 |
| 10675 |   0 | 10672 |     0 |     3 |   0 | GET    | /api/trend                    | 0.004 | 0.232 |  282.644 | 0.026 | 0.056 | 0.076 | 0.116 |  0.025 |     0.000 |   4638.000 |  47138327.000 |  4415.768 |
| 14423 |   0 | 14047 |     0 |   372 |   4 | GET    | /api/condition/[0-9a-zA-Z\-]+ | 0.004 | 0.228 |  223.628 | 0.016 | 0.032 | 0.048 | 0.092 |  0.017 |     0.000 |   6239.000 |  71847728.000 |  4981.469 |
| 11469 |   0 | 11275 |     0 |   193 |   1 | GET    | /api/isu/[0-9a-zA-Z\-]+/icon  | 0.004 | 0.204 |  151.072 | 0.013 | 0.028 | 0.040 | 0.080 |  0.015 |     0.000 | 135259.000 | 296126608.000 | 25819.741 |
|  1827 |   0 |  1630 |     0 |   196 |   1 | GET    | /api/isu/[0-9a-zA-Z\-]+       | 0.004 | 0.184 |   23.936 | 0.013 | 0.028 | 0.040 | 0.076 |  0.016 |     0.000 |    137.000 |    201401.000 |   110.236 |
|  1022 |   0 |   502 |     0 |   520 |   0 | POST   | /api/auth                     | 0.004 | 0.176 |   13.176 | 0.013 | 0.028 | 0.040 | 0.092 |  0.018 |     0.000 |     19.000 |      5980.000 |     5.851 |
| 11074 |   0 |   641 | 10415 |    18 |   0 | GET    | /                             | 0.008 | 0.192 |  134.220 | 0.012 | 0.032 | 0.048 | 0.084 |  0.017 |     0.000 |    528.000 |    339120.000 |    30.623 |
|   367 |   0 |   298 |     0 |    69 |   0 | POST   | /api/signout                  | 0.000 | 0.144 |    3.748 | 0.010 | 0.024 | 0.032 | 0.084 |  0.015 |    21.000 |     21.000 |      1449.000 |     3.948 |
|   666 |   0 |   307 |     0 |   359 |   0 | GET    | /api/user/me                  | 0.004 | 0.144 |    5.732 | 0.009 | 0.020 | 0.032 | 0.080 |  0.014 |    21.000 |     39.000 |     17602.000 |    26.429 |
|    12 |   0 |     0 |     0 |    12 |   0 | POST   | /core/.env                    | 0.000 | 0.004 |    0.012 | 0.001 | 0.004 | 0.004 | 0.004 |  0.002 |    24.000 |     24.000 |       288.000 |    24.000 |
|     6 |   0 |     0 |     0 |     6 |   0 | GET    | /core/.env                    | 0.000 | 0.004 |    0.004 | 0.001 | 0.004 | 0.004 | 0.004 |  0.001 |    24.000 |     24.000 |       144.000 |    24.000 |
