+-------+-----+-------+-------+-------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+-----------+
| COUNT | 1XX |  2XX  |  3XX  |  4XX  | 5XX | METHOD |              URI              |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+-------+-------+-------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+-----------+
|     1 |   0 |     1 |     0 |     0 |   0 | POST   | /initialize                   | 1.028 | 1.028 |    1.028 | 1.028 | 1.028 | 1.028 | 1.028 |  0.000 |    18.000 |     18.000 |        18.000 |    18.000 |
|    60 |   0 |    56 |     0 |     4 |   0 | POST   | /api/isu                      | 0.008 | 0.124 |    4.300 | 0.072 | 0.088 | 0.096 | 0.124 |  0.021 |    15.000 |    134.000 |      6845.000 |   114.083 |
| 50892 |   0 | 39131 |     0 | 11761 |   0 | POST   | /api/condition/[0-9a-zA-Z\-]+ | 0.002 | 0.180 | 2822.176 | 0.055 | 0.100 | 0.104 | 0.108 |  0.039 |     0.000 |     14.000 |       560.000 |     0.011 |
|  2280 |   0 |  1894 |     0 |   386 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/graph | 0.004 | 0.208 |   80.608 | 0.035 | 0.072 | 0.084 | 0.120 |  0.027 |     0.000 |   8824.000 |  12042151.000 |  5281.645 |
|  2818 |   0 |  2740 |     0 |    78 |   0 | GET    | /api/isu                      | 0.004 | 0.148 |   68.140 | 0.024 | 0.044 | 0.052 | 0.076 |  0.015 |     0.000 |   3739.000 |   6234831.000 |  2212.502 |
| 16725 |   0 | 16283 |     0 |   442 |   0 | GET    | /api/condition/[0-9a-zA-Z\-]+ | 0.004 | 0.132 |  179.769 | 0.011 | 0.020 | 0.028 | 0.044 |  0.009 |     0.000 |   6222.000 |  81296881.000 |  4860.800 |
|  2945 |   0 |  2714 |     0 |   231 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+       | 0.004 | 0.124 |   27.905 | 0.009 | 0.020 | 0.024 | 0.044 |  0.009 |    14.000 |    134.000 |    334675.000 |   113.642 |
| 18412 |   0 | 18170 |     0 |   242 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/icon  | 0.004 | 0.124 |  165.368 | 0.009 | 0.016 | 0.024 | 0.036 |  0.008 |     0.000 | 135259.000 | 473023063.000 | 25691.020 |
|  1381 |   0 |   765 |     0 |   616 |   0 | POST   | /api/auth                     | 0.000 | 0.068 |    9.941 | 0.007 | 0.016 | 0.020 | 0.028 |  0.007 |     0.000 |     19.000 |      7084.000 |     5.130 |
|   604 |   0 |   525 |     0 |    79 |   0 | POST   | /api/signout                  | 0.004 | 0.048 |    3.836 | 0.006 | 0.012 | 0.016 | 0.032 |  0.007 |     0.000 |     21.000 |      1659.000 |     2.747 |
| 15604 |   0 |  1098 | 14505 |     1 |   0 | GET    | /                             | 0.004 | 0.148 |   82.858 | 0.005 | 0.012 | 0.016 | 0.032 |  0.007 |     0.000 |    528.000 |    579744.000 |    37.154 |
| 14978 |   0 | 14970 |     0 |     8 |   0 | GET    | /api/trend                    | 0.004 | 0.108 |   77.953 | 0.005 | 0.012 | 0.016 | 0.024 |  0.006 |  4713.000 |   4713.000 |  69208072.000 |  4620.648 |
|  1134 |   0 |   534 |     0 |   600 |   0 | GET    | /api/user/me                  | 0.004 | 0.060 |    5.604 | 0.005 | 0.012 | 0.016 | 0.024 |  0.006 |    21.000 |     40.000 |     30865.000 |    27.218 |
|    12 |   0 |    12 |     0 |     0 |   0 | GET    | /isu/[0-9a-zA-Z\-]+           | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |   528.000 |    528.000 |      6336.000 |   528.000 |
| 14989 |   0 |   563 | 14426 |     0 |   0 | GET    | /assets/logo_orange.svg       | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |   3288.000 |   1851144.000 |   123.500 |
| 15101 |   0 |   564 | 14537 |     0 |   0 | GET    | /assets/logo_white.svg        | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |   3285.000 |   1852740.000 |   122.690 |
|    18 |   0 |     6 |    12 |     0 |   0 | GET    | /isu/[0-9a-zA-Z\-]+/condition | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |    528.000 |      3168.000 |   176.000 |
| 15101 |   0 |   564 | 14537 |     0 |   0 | GET    | /assets/index.144d8ca8.css    | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |  19066.000 |  10753224.000 |   712.087 |
| 15101 |   0 |   564 | 14537 |     0 |   0 | GET    | /assets/vendor.ee7444dd.js    | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 | 743417.000 | 419287188.000 | 27765.525 |
| 15101 |   0 |   564 | 14537 |     0 |   0 | GET    | /assets/index.23dac98b.js     | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |  26667.000 |  15040188.000 |   995.973 |
|     3 |   0 |     1 |     2 |     0 |   0 | GET    | /register                     | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |    528.000 |       528.000 |   176.000 |
| 15101 |   0 |   564 | 14537 |     0 |   0 | GET    | /assets/favicon.d0f5f504.svg  | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |    592.000 |    333888.000 |    22.110 |
+-------+-----+-------+-------+-------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+-----------+
