+-------+-----+-------+-------+-------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+-----------+
| COUNT | 1XX |  2XX  |  3XX  |  4XX  | 5XX | METHOD |              URI              |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+-------+-------+-------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+-----------+
|     1 |   0 |     1 |     0 |     0 |   0 | POST   | /initialize                   | 0.568 | 0.568 |    0.568 | 0.568 | 0.568 | 0.568 | 0.568 |  0.000 |    18.000 |     18.000 |        18.000 |    18.000 |
|    58 |   0 |    54 |     0 |     4 |   0 | POST   | /api/isu                      | 0.008 | 0.112 |    4.148 | 0.072 | 0.088 | 0.096 | 0.112 |  0.020 |    15.000 |    137.000 |      6591.000 |   113.638 |
| 47325 |   0 | 36176 |     0 | 11149 |   0 | POST   | /api/condition/[0-9a-zA-Z\-]+ | 0.000 | 0.216 | 2730.070 | 0.058 | 0.100 | 0.104 | 0.108 |  0.039 |     0.000 |     14.000 |       490.000 |     0.010 |
|  1873 |   0 |  1491 |     0 |   382 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/graph | 0.004 | 0.332 |   67.060 | 0.036 | 0.072 | 0.088 | 0.128 |  0.029 |     0.000 |   7996.000 |   9258683.000 |  4943.237 |
|  2557 |   0 |  2480 |     0 |    77 |   0 | GET    | /api/isu                      | 0.004 | 0.156 |   62.074 | 0.024 | 0.044 | 0.052 | 0.072 |  0.015 |     0.000 |   3711.000 |   6067256.000 |  2372.803 |
| 15395 |   0 | 14959 |     0 |   436 |   0 | GET    | /api/condition/[0-9a-zA-Z\-]+ | 0.000 | 0.280 |  158.230 | 0.010 | 0.020 | 0.024 | 0.036 |  0.009 |     0.000 |   6062.000 |  74461827.000 |  4836.754 |
| 17786 |   0 | 17555 |     0 |   231 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/icon  | 0.004 | 0.128 |  163.161 | 0.009 | 0.016 | 0.024 | 0.032 |  0.007 |     0.000 | 135259.000 | 460154833.000 | 25871.744 |
|  2680 |   0 |  2452 |     0 |   228 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+       | 0.004 | 0.260 |   23.952 | 0.009 | 0.016 | 0.024 | 0.040 |  0.010 |    14.000 |    137.000 |    300784.000 |   112.233 |
|  1351 |   0 |   743 |     0 |   608 |   0 | POST   | /api/auth                     | 0.004 | 0.080 |   10.396 | 0.008 | 0.016 | 0.020 | 0.032 |  0.007 |     0.000 |     19.000 |      6992.000 |     5.175 |
|   584 |   0 |   506 |     0 |    78 |   0 | POST   | /api/signout                  | 0.004 | 0.116 |    3.752 | 0.006 | 0.012 | 0.016 | 0.028 |  0.008 |     0.000 |     21.000 |      1638.000 |     2.805 |
| 14056 |   0 |  1057 | 12999 |     0 |   0 | GET    | /                             | 0.004 | 0.120 |   66.609 | 0.005 | 0.012 | 0.016 | 0.028 |  0.007 |   528.000 |    528.000 |    558096.000 |    39.705 |
| 13454 |   0 | 13453 |     0 |     1 |   0 | GET    | /api/trend                    | 0.000 | 0.112 |   62.830 | 0.005 | 0.012 | 0.016 | 0.024 |  0.006 |     0.000 |   4643.000 |  59613621.000 |  4430.922 |
|  1095 |   0 |   515 |     0 |   580 |   0 | GET    | /api/user/me                  | 0.004 | 0.080 |    4.940 | 0.005 | 0.012 | 0.012 | 0.024 |  0.006 |    21.000 |     37.000 |     29123.000 |    26.596 |
|     3 |   0 |     1 |     2 |     0 |   0 | GET    | /register                     | 0.000 | 0.004 |    0.004 | 0.001 | 0.004 | 0.004 | 0.004 |  0.002 |     0.000 |    528.000 |       528.000 |   176.000 |
|    12 |   0 |    12 |     0 |     0 |   0 | GET    | /isu/[0-9a-zA-Z\-]+           | 0.000 | 0.004 |    0.004 | 0.000 | 0.000 | 0.004 | 0.004 |  0.001 |   528.000 |    528.000 |      6336.000 |   528.000 |
| 13461 |   0 |   540 | 12921 |     0 |   0 | GET    | /assets/logo_orange.svg       | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |   3288.000 |   1775520.000 |   131.901 |
|    18 |   0 |     6 |    12 |     0 |   0 | GET    | /isu/[0-9a-zA-Z\-]+/condition | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |    528.000 |      3168.000 |   176.000 |
| 13572 |   0 |   541 | 13031 |     0 |   0 | GET    | /assets/logo_white.svg        | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |   3285.000 |   1777185.000 |   130.945 |
| 13572 |   0 |   541 | 13031 |     0 |   0 | GET    | /assets/vendor.ee7444dd.js    | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 | 743417.000 | 402188597.000 | 29633.702 |
| 13572 |   0 |   541 | 13031 |     0 |   0 | GET    | /assets/favicon.d0f5f504.svg  | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |    592.000 |    320272.000 |    23.598 |
| 13572 |   0 |   541 | 13031 |     0 |   0 | GET    | /assets/index.23dac98b.js     | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |  26667.000 |  14426847.000 |  1062.986 |
| 13572 |   0 |   541 | 13031 |     0 |   0 | GET    | /assets/index.144d8ca8.css    | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |     0.000 |  19066.000 |  10314706.000 |   759.999 |
+-------+-----+-------+-------+-------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+-----------+
