+-------+-----+-------+-------+------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+-----------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX  | 5XX | METHOD |              URI              |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+-------+-------+------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+-----------+
|     1 |   0 |     1 |     0 |    0 |   0 | POST   | /initialize                   | 1.496 | 1.496 |    1.496 | 1.496 | 1.496 | 1.496 | 1.496 |  0.000 |    18.000 |     18.000 |        18.000 |    18.000 |
|    58 |   0 |    54 |     0 |    4 |   0 | POST   | /api/isu                      | 0.004 | 0.108 |    3.996 | 0.069 | 0.088 | 0.096 | 0.108 |  0.020 |    15.000 |    140.000 |      6625.000 |   114.224 |
|  1593 |   0 |  1221 |     0 |  372 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/graph | 0.004 | 0.340 |   67.270 | 0.042 | 0.092 | 0.104 | 0.152 |  0.037 |     0.000 |  10065.000 |   9399747.000 |  5900.657 |
| 68532 |   0 | 64904 |     0 | 3628 |   0 | POST   | /api/condition/[0-9a-zA-Z\-]+ | 0.004 | 0.388 | 2120.882 | 0.031 | 0.072 | 0.096 | 0.104 |  0.029 |     0.000 |     14.000 |       532.000 |     0.008 |
|  1700 |   0 |  1626 |     0 |   74 |   0 | GET    | /api/isu                      | 0.004 | 0.164 |   40.674 | 0.024 | 0.044 | 0.052 | 0.076 |  0.016 |     3.000 |   3798.000 |   3683635.000 |  2166.844 |
| 20062 |   0 | 19636 |     0 |  426 |   0 | GET    | /api/condition/[0-9a-zA-Z\-]+ | 0.004 | 0.304 |  234.220 | 0.012 | 0.024 | 0.032 | 0.052 |  0.012 |     0.000 |   6422.000 | 101484390.000 |  5058.538 |
|  1823 |   0 |  1601 |     0 |  222 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+       | 0.012 | 0.112 |   17.780 | 0.010 | 0.020 | 0.028 | 0.040 |  0.009 |    14.000 |    140.000 |    199031.000 |   109.178 |
| 10901 |   0 | 10673 |     0 |  228 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/icon  | 0.004 | 0.184 |  102.969 | 0.009 | 0.020 | 0.024 | 0.036 |  0.009 |     0.000 | 135259.000 | 312017703.000 | 28622.851 |
|  1134 |   0 |   534 |     0 |  600 |   0 | POST   | /api/auth                     | 0.004 | 0.068 |    9.608 | 0.008 | 0.016 | 0.024 | 0.036 |  0.008 |     9.000 |     19.000 |      6900.000 |     6.085 |
