+-------+-----+-------+-----+-------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX |  4XX  | 5XX | METHOD |              URI              |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+-------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
|     1 |   0 |     1 |   0 |     0 |   0 | POST   | /initialize                   | 0.524 | 0.524 |    0.524 | 0.524 | 0.524 | 0.524 | 0.524 |  0.000 |     23.000 |     23.000 |        23.000 |     23.000 |
|   443 |   0 |   353 |   0 |    90 |   0 | GET    | /api/trend                    | 0.004 | 1.508 |  195.181 | 0.441 | 1.000 | 1.004 | 1.008 |  0.362 |      0.000 |   8441.000 |   2818766.000 |   6362.903 |
|    59 |   0 |    53 |   0 |     6 |   0 | POST   | /api/isu                      | 0.008 | 1.004 |    5.652 | 0.096 | 0.108 | 0.236 | 1.004 |  0.133 |     15.000 |    157.000 |      7379.000 |    125.068 |
|   661 |   0 |   610 |   0 |    51 |   0 | GET    | /api/isu                      | 0.020 | 1.516 |   48.556 | 0.073 | 0.132 | 0.192 | 0.532 |  0.118 |      3.000 |  10000.000 |   1591763.000 |   2408.113 |
|  1003 |   0 |   766 |   0 |   237 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/graph | 0.004 | 1.004 |   66.608 | 0.066 | 0.124 | 0.164 | 0.272 |  0.074 |      0.000 |  10191.000 |   5533329.000 |   5516.779 |
|     2 |   0 |     0 |   0 |     2 |   0 | GET    | /favicon.ico                  | 0.064 | 0.068 |    0.132 | 0.066 | 0.068 | 0.068 | 0.068 |  0.002 |     71.000 |     71.000 |       142.000 |     71.000 |
|  5730 |   0 |  5454 |   0 |   275 |   1 | GET    | /api/condition/[0-9a-zA-Z\-]+ | 0.100 | 0.952 |  275.367 | 0.048 | 0.092 | 0.120 | 0.208 |  0.052 |      0.000 |   7141.000 |  32806276.000 |   5725.354 |
|   745 |   0 |   602 |   0 |   143 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+       | 0.004 | 1.004 |   26.625 | 0.036 | 0.068 | 0.104 | 0.432 |  0.078 |     14.000 |    157.000 |     84660.000 |    113.638 |
| 61391 |   0 | 48590 |   0 | 12800 |   1 | POST   | /api/condition/[0-9a-zA-Z\-]+ | 0.100 | 0.928 | 2182.813 | 0.036 | 0.100 | 0.104 | 0.108 |  0.046 |      0.000 |     14.000 |       308.000 |      0.005 |
