+-------+-----+-------+-------+-------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+-----------+
| COUNT | 1XX |  2XX  |  3XX  |  4XX  | 5XX | METHOD |              URI              |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+-------+-------+-------+-----+--------+-------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+---------------+-----------+
|     1 |   0 |     1 |     0 |     0 |   0 | POST   | /initialize                   | 0.704 | 0.704 |    0.704 | 0.704 | 0.704 | 0.704 | 0.704 |  0.000 |    18.000 |     18.000 |        18.000 |    18.000 |
|    58 |   0 |    54 |     0 |     4 |   0 | POST   | /api/isu                      | 0.004 | 0.136 |    4.172 | 0.072 | 0.096 | 0.116 | 0.136 |  0.023 |    15.000 |    131.000 |      6613.000 |   114.017 |
|  1483 |   0 |  1106 |     0 |   377 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/graph | 0.004 | 0.292 |   64.705 | 0.044 | 0.100 | 0.120 | 0.168 |  0.040 |     0.000 |  10949.000 |   9500067.000 |  6405.979 |
| 58133 |   0 | 47482 |     0 | 10651 |   0 | POST   | /api/condition/[0-9a-zA-Z\-]+ | 0.008 | 0.292 | 2535.337 | 0.044 | 0.100 | 0.100 | 0.108 |  0.039 |     0.000 |     14.000 |       686.000 |     0.012 |
|  1491 |   0 |  1416 |     0 |    75 |   0 | GET    | /api/isu                      | 0.004 | 0.212 |   34.288 | 0.023 | 0.040 | 0.052 | 0.092 |  0.019 |     3.000 |   3764.000 |   3085961.000 |  2069.726 |
| 22313 |   0 | 21884 |     0 |   429 |   0 | GET    | /api/condition/[0-9a-zA-Z\-]+ | 0.004 | 0.260 |  253.455 | 0.011 | 0.024 | 0.032 | 0.056 |  0.013 |     3.000 |   6062.000 | 113821334.000 |  5101.122 |
|  1592 |   0 |  1367 |     0 |   225 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+       | 0.004 | 0.260 |   15.808 | 0.010 | 0.020 | 0.028 | 0.056 |  0.014 |    14.000 |    131.000 |    167946.000 |   105.494 |
|  9285 |   0 |  9060 |     0 |   225 |   0 | GET    | /api/isu/[0-9a-zA-Z\-]+/icon  | 0.004 | 0.264 |   85.326 | 0.009 | 0.020 | 0.024 | 0.044 |  0.010 |    14.000 | 135259.000 | 258446051.000 | 27834.793 |
|  1113 |   0 |   513 |     0 |   600 |   0 | POST   | /api/auth                     | 0.000 | 0.120 |    8.680 | 0.008 | 0.016 | 0.020 | 0.036 |  0.009 |     0.000 |     19.000 |      6900.000 |     6.199 |
|   356 |   0 |   279 |     0 |    77 |   0 | POST   | /api/signout                  | 0.004 | 0.120 |    2.392 | 0.007 | 0.012 | 0.020 | 0.040 |  0.010 |    21.000 |     21.000 |      1617.000 |     4.542 |
| 14058 |   0 |   602 | 13456 |     0 |   0 | GET    | /                             | 0.000 | 0.216 |   87.993 | 0.006 | 0.016 | 0.020 | 0.048 |  0.011 |     0.000 |    528.000 |    317856.000 |    22.610 |
| 13689 |   0 | 13689 |     0 |     0 |   0 | GET    | /api/trend                    | 0.004 | 0.184 |   77.157 | 0.006 | 0.012 | 0.020 | 0.036 |  0.008 |  2662.000 |   4642.000 |  61129184.000 |  4465.570 |
